serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,7,2,20,1,0,0,-1,21,0,0,0,0,2,0
2,1,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0
3,9,3,31,2,1,0,-1,33,0,0,0,9.0,3,0
4,7,3,24,1,0,4,-1,25,1,0,0,0.7777777777777778,3,0
5,7,3,28,1,0,1,-1,29,0,0,0,1.0,3,0
6,1,0,0,0,1,0,-1,0,0,0,0,0.14285714285714285,0,0
7,4,2,10,1,1,0,-1,11,1,0,0,4.0,2,0
8,15,3,47,3,0,0,-1,50,0,0,0,3.75,3,0
9,5,2,16,1,0,2,0,17,0,0,0,0.3333333333333333,2,0
10,1,0,0,0,1,0,-1,0,0,0,0,0.2,0,0
11,3,2,7,1,0,0,-1,8,0,0,0,3.0,2,0
12,6,3,22,1,1,0,-1,23,0,0,0,2.0,3,0
13,7,2,18,1,1,0,-1,19,0,0,0,1.1666666666666667,2,0
14,4,3,18,1,0,0,-1,19,0,0,0,0.5714285714285714,3,0
15,4,2,9,1,1,0,-1,10,1,0,0,1.0,2,0
16,4,3,14,1,0,0,-1,15,0,0,0,1.0,3,0
17,1,0,0,0,1,0,-1,0,0,0,0,0.25,0,0
18,9,3,38,1,0,0,-1,39,0,0,0,9.0,3,0
19,1,0,0,0,1,0,-1,0,0,0,0,0.1111111111111111,0,0
20,5,2,13,0,0,0,0,13,0,0,0,5.0,2,0
21,4,3,15,2,0,0,-1,17,0,0,0,0.8,3,0
22,11,3,35,3,0,0,0,38,0,0,0,2.75,3,0
23,1,0,0,0,1,0,-1,0,0,0,0,0.09090909090909091,0,0
24,8,2,24,2,0,0,0,26,1,0,0,8.0,2,0
25,4,2,9,1,1,0,-1,10,0,0,0,0.5,2,0
26,2,2,5,1,0,0,-1,6,0,0,0,0.5,2,0
27,2,2,6,1,0,0,-1,7,0,0,0,1.0,2,0
28,3,2,9,1,0,0,-1,10,0,0,0,1.5,2,0
29,8,1,16,0,0,1,3,16,0,0,0,2.6666666666666665,1,0
30,10,2,28,1,0,0,1,29,0,0,0,1.25,2,0
31,1,1,2,1,0,0,-1,3,0,0,0,0.1,1,0
32,3,1,5,1,0,1,0,6,0,0,0,3.0,1,0
33,6,3,19,2,0,0,-1,21,1,0,0,2.0,3,0
34,1,0,0,0,1,0,-1,0,0,0,0,0.16666666666666666,0,0
35,1,1,2,1,0,0,-1,3,0,0,0,1.0,1,0
36,2,1,3,1,0,0,0,4,0,0,0,2.0,1,0
37,4,1,5,1,0,0,0,6,0,0,0,2.0,1,0
38,1,0,0,0,1,0,-1,0,0,0,0,0.25,0,0
39,5,1,7,0,0,1,7,7,0,0,0,5.0,1,0
40,1,0,0,0,1,0,-1,0,0,0,0,0.2,0,0
41,3,2,7,1,0,0,-1,8,0,0,0,3.0,2,0
42,3,1,6,1,0,0,0,7,0,0,0,1.0,1,0
43,2,1,2,1,0,0,0,3,0,0,0,0.6666666666666666,1,0
44,5,2,14,1,0,0,0,15,0,0,0,2.5,2,0
45,5,2,12,1,3,0,-1,13,0,0,0,1.0,2,0
46,6,2,14,1,0,0,0,15,0,0,0,1.2,2,0
47,2,1,2,1,0,0,0,3,0,0,0,0.3333333333333333,1,0
48,2,1,4,1,0,0,0,5,0,0,0,1.0,1,0
49,1,2,4,1,0,0,-1,5,0,0,0,0.5,2,0
50,6,2,18,1,0,1,0,19,0,0,0,6.0,2,0
51,5,2,14,1,1,0,0,15,0,0,0,0.8333333333333334,2,0
52,2,1,2,1,0,0,0,3,0,0,0,0.4,1,0
53,6,2,16,1,0,0,0,17,0,0,0,3.0,2,0
